step,checks,first_iteration,first_relative_error,final_iteration,final_relative_error,observed_last_relative_error,min_relative_error,late_ratio,log10_drop,converged,maxed_out,tail_class
1,10,100,1.0,1000,0.07229901371565509,0.07229901371565509,0.07229901371565509,0.8707590722940861,1.1408676271974498,0,1,stalled_tail
2,10,100,0.21662904361256285,1000,0.026810960074319327,0.026810960074319327,0.026810960074319327,0.8434405053487563,0.90740431644521,0,1,slow_tail
3,10,100,0.1453489939014157,1000,0.06989215670485784,0.06989215670485784,0.06989215670485784,0.9710206622666807,0.31798358798181986,0,1,stalled_tail
4,10,100,0.2058554170511582,1000,0.08057063038696446,0.08057063038696446,0.08057063038696446,0.9075353113731055,0.4073855382810909,0,1,stalled_tail
5,10,100,0.12509567900837978,1000,0.0336845824521238,0.0336845824521238,0.0336845824521238,0.9148316992092522,0.5698111404846407,0,1,stalled_tail
6,10,100,0.04070762035284001,1000,0.012445459083890558,0.012445459083890558,0.012445459083890558,0.9659630659501082,0.5146647942014779,0,1,stalled_tail
7,10,100,0.041430870285775016,1000,0.01305212711411937,0.01305212711411937,0.01305212711411937,0.9288407771488387,0.501642761355581,0,1,stalled_tail
8,10,100,0.032832383568694994,1000,0.012439859761909576,0.012439859761909576,0.012439859761909576,0.9324992673253143,0.4214869283717631,0,1,stalled_tail
9,10,100,0.02057129424773901,1000,0.008210839620854301,0.008210839620854301,0.008210839620854301,0.9529330946562209,0.39887404698519013,0,1,stalled_tail
10,10,100,0.015965188983053387,1000,0.006962379406407509,0.006962379406407509,0.006962379406407509,0.978374728416484,0.36041637779099434,0,1,stalled_tail
11,10,100,0.0176987799722544,1000,0.008046657998787917,0.008046657998787917,0.008046657998787917,0.9678699483894871,0.34232778700848815,0,1,stalled_tail
12,10,100,0.016512695645277742,1000,0.007603526904204494,0.007603526904204494,0.007603526904204494,0.9703015382762412,0.3368028892664792,0,1,stalled_tail
13,10,100,0.012734116985823789,1000,0.0049757860591181915,0.0049757860591181915,0.0049757860591181915,0.9752516724614498,0.40810713633854506,0,1,stalled_tail
14,10,100,0.009418241657297405,1000,0.0025429920836138814,0.0025429920836138814,0.0025429920836138814,0.9771704585204148,0.5686248213541221,0,1,stalled_tail
15,10,100,0.008843826170954106,1000,0.0016035095826639847,0.0016035095826639847,0.0016035095826639847,0.9337062354747157,0.7415686381130439,0,1,stalled_tail
16,10,100,0.008715561330581614,1000,0.0018046425031727528,0.0018046425031727528,0.0018046425031727528,0.9518113325984997,0.6839041816130912,0,1,stalled_tail
17,10,100,0.007833160234372343,1000,0.0019177161239901526,0.0019177161239901526,0.0019177161239901526,0.9643745718264557,0.611152690744965,0,1,stalled_tail
18,10,100,0.007017103995213814,1000,0.0013683952650066142,0.0013683952650066142,0.0013683952650066142,0.9755229788031389,0.7099463501809852,0,1,stalled_tail
19,8,100,0.006110923138979973,800,0.0009616411183610104,0.0009616411183610104,0.0009616411183610104,0.9465064658114843,0.8030937965029912,1,0,converged
20,4,100,0.005375485257555543,400,0.0007645069714419466,0.0007645069714419466,0.0007645069714419466,0.7593049798717325,0.8470362250875867,1,0,converged
