candidate,poisson,steps,exit_code,reference_candidate,poisson_tolerance,reference_accuracy_pass,speedup_vs_reference,total_ms_per_step,poisson_iters,mlups,source_aware_hh_init,source_aware_hh_scale,scalar_source_scale,pressure_relax_scale,poisson_fixed_point_relax,poisson_anderson_m1,poisson_anderson_beta_max,poisson_two_grid_correction,poisson_two_grid_strength,fei_max_abs,fei_rel_l2,rho_max_abs,rho_rel_l2,u_max_abs,u_rel_l2,v_max_abs,v_rel_l2,w_max_abs,w_rel_l2,press_max_abs,press_rel_l2,saved_plt,command
onepass_reference,onepass,5,0,onepass_reference,0.001,1,1.0,103.447,960.0,0.158,0,,,1.0,1.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused
relax_scale0p75,onepass,5,0,onepass_reference,0.001,0,1.233641404805915,83.855,900.0,0.195,0,,,0.75,1.0,0,,0,,0.00919293612241745,0.03263593990764314,2.518333911895752,0.012608290856264638,0.10789500176906586,0.39674797450387217,0.08974301069974899,0.39761699225492503,0.09256032109260559,0.3783570660396018,0.9023634493350983,0.21702434267572168,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --pressure-relax-scale 0.75
relax_scale1p1,onepass,5,0,onepass_reference,0.001,0,1.3461248178221945,76.848,820.0,0.213,0,,,1.1,1.0,0,,0,,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --pressure-relax-scale 1.1
relax_scale1p25,onepass,5,0,onepass_reference,0.001,0,2.287031305270605,45.232,460.0,0.362,0,,,1.25,1.0,0,,0,,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --pressure-relax-scale 1.25
scalar_stencil_scale2,scalar,5,0,onepass_reference,0.001,0,47.759464450600184,2.166,100.0,7.564,0,,2.0,1.0,1.0,0,,0,,0.012584589421749115,0.05285407395214369,2.6604881286621094,0.02064465863537236,0.24035141803324223,1.1124922156479897,0.18089016526937485,1.1609184648003925,0.17311161570250988,1.0831178336865042,1.177720069885254,1.0,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson scalar --pressure-boundary fused --scalar-source-scale 2.0
source_aware_scale0p25,onepass,5,0,onepass_reference,0.001,0,1.1554451022003798,89.53,960.0,0.183,1,0.25,,1.0,1.0,0,,0,,2.9802322387695312e-08,6.97916369990382e-08,3.814697265625e-06,2.1596445826526382e-08,4.3213367462158203e-07,2.311111276923604e-06,4.246830940246582e-07,2.5783386169919174e-06,6.183981895446777e-07,2.655402181182902e-06,5.0067901611328125e-05,0.0002785126137912054,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --source-aware-hh-init --source-aware-hh-scale 0.25
source_aware_scale0p5,onepass,5,0,onepass_reference,0.001,0,1.1582394697359877,89.314,960.0,0.183,1,0.5,,1.0,1.0,0,,0,,5.21540641784668e-08,1.3506575397375075e-07,6.198883056640625e-06,3.5895755739958385e-08,8.717179298400879e-07,4.624336329927045e-06,8.493661880493164e-07,5.155017505779422e-06,1.2442469596862793e-06,5.3168973125619025e-06,0.00010013580322265625,0.0005570272665414985,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --source-aware-hh-init --source-aware-hh-scale 0.5
source_aware_scale1,onepass,5,0,onepass_reference,0.001,0,1.156827661787236,89.423,960.0,0.183,1,1.0,,1.0,1.0,0,,0,,1.043081283569336e-07,2.697519782443169e-07,1.239776611328125e-05,6.936629997731538e-08,1.7434358596801758e-06,9.25759865209405e-06,1.7024576663970947e-06,1.0306031522278298e-05,2.4884939193725586e-06,1.0628006215444389e-05,0.00020026415586471558,0.0011140635045990982,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --source-aware-hh-init --source-aware-hh-scale 1.0
fixed_point_relax0p9,onepass,5,0,onepass_reference,0.001,0,1.156194116595136,89.472,960.0,0.183,0,,,1.0,0.9,0,,0,,2.7358531951904297e-05,8.739619080932e-05,0.0035474300384521484,3.1341724474637606e-05,0.000886380672454834,0.003967995307296943,0.0008825846016407013,0.004400519829199512,0.0012882202863693237,0.004671861959767274,0.023440837860107422,0.09445574404807636,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-fixed-point-relax 0.9
fixed_point_relax1p05,onepass,5,0,onepass_reference,0.001,0,1.1128718196977032,92.955,1000.0,0.176,0,,,1.0,1.05,0,,0,,inf,inf,49.0,5.73866940123148,inf,inf,inf,inf,inf,inf,inf,inf,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-fixed-point-relax 1.05
