trajectory,step,input_snapshot,pre_state,target_state,hard_reasons,full_poisson_iterations,full_poisson_converged,full_poisson_relative_error,gate_pass
h15_p50_closed_loop_hard_replay,1,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000001.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000001.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000001.bin,fallback;negative_direct;negative_future20,5000,0,0.00264847,0
h15_p50_closed_loop_hard_replay,2,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000002.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000002.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000002.bin,fallback;negative_direct;negative_future20,5000,0,0.00407482,0
h15_p50_closed_loop_hard_replay,3,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000003.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000003.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000003.bin,fallback;negative_direct;negative_future20,5000,0,0.0105763,0
h15_p50_closed_loop_hard_replay,4,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000004.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000004.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000004.bin,fallback;negative_direct,5000,0,0.0091105,0
h15_p50_closed_loop_hard_replay,5,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000005.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000005.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000005.bin,fallback;negative_direct,5000,0,0.00800875,0
h15_p50_closed_loop_hard_replay,6,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000006.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000006.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000006.bin,fallback;negative_direct,5000,0,0.00591037,0
h15_p50_closed_loop_hard_replay,7,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000007.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000007.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000007.bin,fallback;negative_direct,5000,0,0.00399238,0
h15_p50_closed_loop_hard_replay,8,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000008.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000008.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000008.bin,fallback;negative_direct,5000,0,0.00239454,0
h15_p50_closed_loop_hard_replay,9,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000009.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000009.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000009.bin,fallback;negative_direct,5000,0,0.00179995,0
h15_p50_closed_loop_hard_replay,10,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000010.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000010.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000010.bin,fallback;negative_direct,5000,0,0.00260226,0
h15_p50_closed_loop_hard_replay,11,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000011.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000011.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000011.bin,fallback;negative_direct,5000,0,0.00287355,0
h15_p50_closed_loop_hard_replay,12,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000012.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000012.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000012.bin,fallback;negative_direct,5000,0,0.0033598,0
h15_p50_closed_loop_hard_replay,13,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000013.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000013.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000013.bin,fallback;negative_direct,5000,0,0.0022537,0
h15_p50_closed_loop_hard_replay,14,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000014.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000014.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000014.bin,fallback;negative_direct,5000,0,0.00144839,0
h15_p50_closed_loop_hard_replay,15,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000015.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000015.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000015.bin,pressure_peak;false_accept,1800,1,0.000968771,1
h15_p50_closed_loop_hard_replay,16,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000016.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000016.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000016.bin,fallback;negative_direct,2800,1,0.000985772,1
h15_p50_closed_loop_hard_replay,17,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000017.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000017.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000017.bin,fallback;negative_direct,3700,1,0.000990158,1
h15_p50_closed_loop_hard_replay,18,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000018.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000018.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000018.bin,fallback;negative_direct,2900,1,0.000988128,1
h15_p50_closed_loop_hard_replay,19,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000019.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000019.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000019.bin,pressure_peak;false_accept,1200,1,0.00097158,1
