step,split,input_snapshot,post_snapshot,target_state,lx,ly,lz,state_p_sum_max_abs,state_p_sum_rel_l2,post_pressure_max_abs,post_pressure_rel_l2,finite,gate_pass
1,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000001.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000001.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000001.bin,48,96,128,1.6653345369377348e-16,1.1063120884110879e-16,1.4877167553439818e-08,2.5123466847733413e-08,1,1
2,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000002.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000002.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000002.bin,48,96,128,1.1102230246251565e-16,1.1043019686754987e-16,1.4351961563630056e-08,2.5264498012043416e-08,1,1
3,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000003.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000003.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000003.bin,48,96,128,1.1102230246251565e-16,1.111296522459999e-16,2.8028507070843034e-08,2.6457682669491383e-08,1,1
4,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000004.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000004.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000004.bin,48,96,128,2.220446049250313e-16,1.128340561344254e-16,2.7381319434027773e-08,2.5256332687004407e-08,1,1
5,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000005.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000005.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000005.bin,48,96,128,1.1102230246251565e-16,1.0743238881315375e-16,1.4896389177732061e-08,2.4818726171623967e-08,1,1
6,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000006.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000006.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000006.bin,48,96,128,2.220446049250313e-16,1.1135930008144373e-16,2.834707824028726e-08,2.5994244981696577e-08,1,1
7,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000007.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000007.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000007.bin,48,96,128,1.1102230246251565e-16,1.0957026440943335e-16,1.4898798805784708e-08,2.527227099782623e-08,1,1
8,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000008.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000008.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000008.bin,48,96,128,2.220446049250313e-16,1.0915010725619432e-16,2.932486486972863e-08,2.4980071161236214e-08,1,1
9,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000009.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000009.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000009.bin,48,96,128,1.1102230246251565e-16,1.101708799956496e-16,2.96639066643678e-08,2.442724767159049e-08,1,1
10,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000010.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000010.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000010.bin,48,96,128,2.220446049250313e-16,1.1430066547487315e-16,2.6185972945569347e-08,2.6506225124521746e-08,1,1
