step,iteration,pressure_l1_delta,pressure_l1_norm,relative_error,fixed_point_h_l1,fixed_point_h_scale,fixed_point_h_relative,fixed_point_p_l1,fixed_point_p_scale,fixed_point_p_relative,fixed_point_relative,pressure_converged,fixed_point_converged,dual_residual_enabled,converged,block_low_frequency_fraction,block_size,block_count
1,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
2,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
3,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
4,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
5,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
6,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
7,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
8,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
9,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
10,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
11,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
12,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
13,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
14,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
15,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
16,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
17,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
18,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
19,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
20,0,0,0,0,0,0,,0,0,,,1,0,0,1,,0,0
