step,iterations,residual,converged,fallback,compute_ms,oracle_io_ms,e2e_ms,validation_io_ms,reference_write_io_ms,source_mean,source_abs_mean,projected_source_mean,pressure_gauge_target,pressure_gauge_max_shift,p_mean,p_ref_mean,p_mean_abs_diff,p_raw_rel_l2,p_demeaned_rel_l2,pressure_gradient_rel_l2,pressure_correction_rel_l2,velocity_rel_l2,u_rel_l2,v_rel_l2,w_rel_l2,rho_rel_l2,fei_rel_l2,mass_rel,shape_mismatch_fraction,shape_dice_error,candidate_components,reference_components,largest_component_rel,centroid_distance_normalized,h_moment_rel_l2,h_p_consistency_max_abs,h_equilibrium_max_abs,max_field_rel,finite,state_bitwise_equal
1,0,0.00000000000000000e+00,1,0,1.08305240000000005e+01,2.40723699999999985e+00,1.32384629999999994e+01,1.10309670000000004e+01,0.00000000000000000e+00,1.56759916974493776e-21,3.25972945601869243e-05,4.69052927608476040e-20,0.00000000000000000e+00,0.00000000000000000e+00,8.38429621844691907e-17,8.38429621844691907e-17,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
2,0,0.00000000000000000e+00,1,0,9.07514800000000044e+00,9.26390000000000047e-01,1.00024250000000006e+01,1.08965920000000001e+01,0.00000000000000000e+00,-7.00584791013494194e-07,1.75334606180254293e-04,-7.53791769972968764e-20,-7.23634422876868786e-17,0.00000000000000000e+00,6.75895719496782034e-17,6.75895719496782034e-17,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
3,0,0.00000000000000000e+00,1,0,8.87444999999999951e+00,1.07777999999999996e+00,9.95338500000000082e+00,1.02841699999999996e+01,0.00000000000000000e+00,-1.06263539228632938e-06,2.01996557675996008e-04,-1.94050061487156292e-21,1.05871218648119746e-16,0.00000000000000000e+00,1.30109201723786190e-16,1.30109201723786190e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22044604925031308e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
4,0,0.00000000000000000e+00,1,0,9.22601599999999955e+00,1.09788799999999998e+00,1.03248280000000001e+01,1.29082740000000005e+01,0.00000000000000000e+00,-1.21901026120199550e-06,1.65654453915803080e-04,1.13474168245973501e-20,1.14121626897928683e-16,0.00000000000000000e+00,9.52626883196745794e-17,9.52626883196745794e-17,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22044604925031308e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
5,0,0.00000000000000000e+00,1,0,9.37157099999999943e+00,1.26344100000000004e+00,1.06362220000000001e+01,9.89655800000000063e+00,0.00000000000000000e+00,-1.20769602582225975e-06,1.48797290760513504e-04,-5.15445420775623303e-20,1.11655371357989579e-16,0.00000000000000000e+00,1.06141856703842325e-16,1.06141856703842325e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11022302462515654e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
6,0,0.00000000000000000e+00,1,0,9.07612999999999914e+00,1.32306300000000010e+00,1.04003040000000002e+01,1.01271880000000003e+01,0.00000000000000000e+00,-9.45659998958021744e-07,1.33061593283566608e-04,-2.40975175138517512e-20,1.09840601797953919e-16,0.00000000000000000e+00,1.16240378347996825e-16,1.16240378347996825e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.44089209850062616e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
7,0,0.00000000000000000e+00,1,0,8.94863499999999945e+00,1.04416299999999995e+00,9.99380999999999986e+00,1.00978510000000004e+01,0.00000000000000000e+00,-6.71610346933834026e-07,1.35946211354326960e-04,-3.04746870301061380e-20,8.39159540722641797e-17,0.00000000000000000e+00,1.36629845169663684e-16,1.36629845169663684e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.55111512312578270e-17,0.00000000000000000e+00,0.00000000000000000e+00,1,1
8,0,0.00000000000000000e+00,1,0,9.85736299999999943e+00,1.14416600000000002e+00,1.10025849999999998e+01,9.89495199999999997e+00,0.00000000000000000e+00,-4.01282473264456314e-07,1.26277966851733872e-04,5.61855691086467668e-20,1.53051580261634844e-16,0.00000000000000000e+00,1.29856156512967208e-16,1.29856156512967208e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.44089209850062616e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
9,0,0.00000000000000000e+00,1,0,9.38052799999999998e+00,1.11310099999999990e+00,1.04948169999999994e+01,1.12171240000000001e+01,0.00000000000000000e+00,-2.82941306497943449e-07,1.28053808659177938e-04,7.16828132029872378e-20,1.18864930522670637e-16,0.00000000000000000e+00,1.37872027810071975e-16,1.37872027810071975e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.22044604925031308e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
10,0,0.00000000000000000e+00,1,0,9.38961199999999963e+00,9.89426000000000028e-01,1.03799840000000003e+01,9.64895399999999981e+00,0.00000000000000000e+00,-1.55835361871795987e-07,1.19821767547854095e-04,-1.22603561530647884e-20,1.81996584246925891e-16,0.00000000000000000e+00,2.07430394026201481e-16,2.07430394026201481e-16,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2,2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.44089209850062616e-16,0.00000000000000000e+00,0.00000000000000000e+00,1,1
